start.12,salesman.4,Soporte,client.199,end.12,Pago Posterior,Anulada
start.12,salesman.15,Retiro,client.266,end.12,Pago Posterior,Terminada
start.12,salesman.7,Retiro,client.38,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.38,end.12,Pago Posterior,Terminada
start.12,salesman.5,Soporte,client.40,end.12,Pago ya Efectuado,Terminada
start.12,salesman.7,Venta,client.283,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Soporte,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Soporte,client.27,end.12,Pago Posterior,Terminada
start.12,salesman.14,Venta,client.238,end.12,Pago Posterior,Anulada
start.12,salesman.4,Soporte,client.199,end.12,Pago Posterior,Terminada
start.12,salesman.14,Venta,client.238,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.80,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.211,end.12,Pago Contra Entrega,Terminada
start.12,salesman.15,Venta,client.85,end.12,Pago Posterior,Terminada
start.12,salesman.16,Venta,client.156,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Retiro,client.199,end.12,Pago Posterior,Terminada
start.12,salesman.14,Retiro,client.269,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.168,end.12,Pago ya Efectuado,Terminada
start.12,salesman.7,Venta,client.3,end.12,Pago Contra Entrega,Terminada
start.12,salesman.7,Venta,client.3,end.12,Pago Contra Entrega,Terminada
start.12,salesman.7,Venta,client.168,end.12,Pago ya Efectuado,Terminada
start.12,salesman.7,Venta,client.168,end.12,Pago ya Efectuado,Terminada
start.12,salesman.15,Retiro,client.273,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.187,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.277,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.187,end.12,Pago Contra Entrega,Terminada
start.12,salesman.7,Venta,client.259,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.168,end.12,Pago ya Efectuado,Terminada
start.12,salesman.15,Venta,client.275,end.12,Pago Posterior,Terminada
start.12,salesman.15,Retiro,client.275,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.165,end.12,Pago Contra Entrega,Terminada
start.1,salesman.14,Venta,client.242,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.230,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.272,end.1,Pago Posterior,Terminada
start.1,salesman.4,Retiro,client.235,end.1,Pago Contra Entrega,Terminada
start.1,salesman.14,Venta,client.49,end.1,Pago Posterior,Anulada
start.1,salesman.7,Venta,client.145,end.1,Pago Contra Entrega,Terminada
start.1,salesman.16,Soporte,client.3,end.1,Pago ya Efectuado,Terminada
start.1,salesman.5,Soporte,client.211,end.1,Pago ya Efectuado,Terminada
